,event,id,x,z
0,1,1,120.251,846.55
1,1,1,120.217,846.85
2,1,1,120.155,847.15
3,2,1,119.384,846.25
4,2,1,119.3,846.55
5,2,1,119.172,846.85
6,2,1,119.087,847.15
7,2,1,119.007,847.45
8,2,1,118.93,847.75
9,2,1,118.852,848.05
10,2,1,118.763,848.35
11,2,1,118.681,848.65
12,2,1,118.631,848.95
13,2,1,118.502,849.25
14,2,1,118.428,849.55
15,2,1,118.346,849.85
16,2,1,118.246,850.15
17,2,1,118.169,850.45
18,2,1,118.077,850.75
19,2,1,117.99,851.05
20,2,1,117.894,851.35
21,2,1,117.804,851.65
22,2,1,117.721,851.95
23,2,1,117.631,852.25
24,2,1,117.547,852.55
25,2,1,117.454,852.85
26,2,1,117.321,853.15
27,2,1,117.264,853.45
28,2,1,117.216,853.75
29,2,1,117.147,854.05
30,2,1,117.073,854.35
31,2,1,117.005,854.65
32,2,1,116.932,854.95
33,2,1,116.861,855.25
34,2,1,116.777,855.55
35,2,1,116.694,855.85
36,2,1,116.606,856.15
37,2,1,116.52,856.45
38,2,1,116.42,856.75
39,2,1,116.329,857.05
40,2,1,116.239,857.35
41,2,1,116.138,857.65
42,2,1,116.06,857.95
43,2,1,116.016,858.25
44,3,1,74.2968,949.75
45,3,1,74.0868,950.05
46,3,1,73.7909,950.35
47,3,1,73.4989,950.65
48,3,1,73.2195,950.95
49,3,1,72.9387,951.25
50,3,1,72.6575,951.55
51,3,1,72.3844,951.85
52,3,1,72.1161,952.15
53,3,1,71.8509,952.45
54,3,1,71.5889,952.75
55,3,1,71.3451,953.05
56,3,1,71.1057,953.35
57,3,1,70.8644,953.65
58,3,1,70.6301,953.95
59,3,1,70.4005,954.25
60,3,1,70.1343,954.55
61,3,1,69.7742,954.85
62,3,1,69.3561,955.15
63,3,1,68.9274,955.45
64,3,1,68.591,955.75
65,3,1,68.4743,956.05
66,4,1,115.512,842.35
67,4,1,115.676,842.65
68,4,1,115.968,842.95
69,4,1,116.284,843.25
70,4,1,116.596,843.55
71,4,1,116.921,843.85
72,4,1,117.225,844.15
73,4,1,117.569,844.45
74,4,1,117.915,844.75
75,4,1,118.357,845.05
76,4,1,118.63,845.35
77,4,1,118.917,845.65
78,4,1,119.244,845.95
